clan_id,clan_name,clan_leader_name,clan_kingdom,clan_description
clan_sturgia_2,Barakzai,Painda Khan,Dawlat e Durrani,A prestigious and numerous clan that provides the empire with its most capable generals and regional governors while maintaining a deep rivalry with the ruling house. They are known for their immense political influence and their ability to mobilize thousands of veteran warriors from the Afghan heartland at a moments notice. Their troops are characterized by their extreme mobility and their proficiency with the jezail musket which allows them to dominate the mountain passes. Within the confederacy they serve as a critical power block that ensures the empires expansion remains focused on the rich lands of the Punjab. This clan acts as the administrators of the newly conquered territories often bringing a harsh but effective tribal law to the chaotic borderlands. Their loyalty is the glue that holds the Afghan military machine together but it is a loyalty that must be constantly bought with the spoils of war. They are the rising stars of the Afghan world preparing for a future where they might one day claim the supreme leadership for themselves.
clan_sturgia_3,Popalzai,Wali Khan,Dawlat e Durrani,The most prestigious branch of the Durranis providing the empire with its highest ministers and the civil administrators who manage the transition from conquest to governance. They are recognized for their refined culture and their ability to navigate the complex tribal politics of Kabul and Kandahar. Their military contribution is found in the elite household cavalry units that serve as the emperors personal guard during his Indian campaigns. They represent the intellectual and political elite of the Afghan state seeking to build a permanent empire rather than a mere raiding confederacy. During the civil war in the south they act as the primary diplomats who negotiate treaties with the various Indian powers. Their goal is to create a stable northern frontier that can serve as a permanent base for Afghan influence in the subcontinent. They are the strategic brains behind the raw brawn of the Afghan tribal hordes.
clan_sturgia_4,Alakozai,Shah Pasand Khan,Dawlat e Durrani,A clan famous for providing the elite cavalry commanders who spearheaded the most daring invasions of the Indian plains during the mid century. They are specialists in the use of the camel mounted swivel gun which provides a mobile and terrifying source of firepower on the battlefield. Their warriors are raised from birth to be masters of the saddle and are known for their ability to cover vast distances with minimal supplies. This clan represents the peak of Afghan tactical mobility capable of outmaneuvering the slow moving Mughal columns with ease. During the current conflict they serve as the fast moving vanguard that strikes at enemy supply lines and prevents the consolidation of rebel forces. Their reputation for ferocity is such that many garrisons surrender at the mere sight of their banners on the horizon. They are the primary agents of shock and awe in the Durrani military machine.
clan_sturgia_5,Achakzai,Gul Mohammad Khan,Dawlat e Durrani,Mountain dwelling warriors known for their fierce independence and their absolute expertise in guerrilla warfare within the narrow passes of the frontier. They are the masters of the heights often engaging in long range marksmanship that can decimate an invading army before it even sees an enemy. Their social structure is decentralized with power resting in the hands of local chieftains who prize honor and blood vengeance above all else. They serve as the guardians of the empires western mountain borders ensuring that no threat can emerge from the desert reaches. In the context of the Indian campaigns they are used as specialized mountain infantry who excel in siege operations and rocky terrain. Their loyalty is often temporary driven by the promise of plunder and the defense of their ancestral valleys. They represent the raw and untamable spirit of the Afghan highlands that has broken many empires before them.
clan_sturgia_6,Ghilzai,Azad Khan,Dawlat e Durrani,A formerly dominant tribe that remains a powerful and sometimes rebellious force within the Afghan confederacy possessing a deep memory of their own past kings. They are known for their incredible physical resilience and a military tradition that emphasizes massive infantry charges backed by tribal musketry. Their relationship with the ruling house is one of tense cooperation as they are too powerful to ignore but too independent to fully control. They provide the empire with some of its most seasoned veterans who have fought in every theater from the Persian border to the banks of the Yamuna. Their struggle is one of reclaiming their lost prestige within the Afghan hierarchy often leading the charge in the most dangerous sectors of the front. They represent a dormant power that could either secure the empires future or tear it apart from within if their grievances are not addressed.
clan_sturgia_7,Afridi,Darya Khan,Dawlat e Durrani,Masters of the Khyber Pass who demand tribute from every army that moves between Kabul and India and whose control over the trade routes is absolute. They are specialists in defensive warfare and ambush tactics using the jagged terrain of the passes to hold off much larger forces with ease. Their warriors are world renowned for their marksmanship and their ability to craft their own high quality firearms in hidden mountain workshops. They act as the gatekeepers of the empire ensuring that the vital link between the Afghan heartland and the Indian provinces remains secure. Their role in the civil war is that of a necessary ally for the Durranis as no invasion can succeed without their cooperation and guidance through the passes. They are fiercely proud and independent often operating as a state within a state that answers to no one but their own tribal councils.
clan_sturgia_8,Yusufzai,Najib Khan,Dawlat e Durrani,A large and influential tribe settled in the Rohilkhand and Peshawar regions specializing in flintlock musketry and disciplined tribal warfare. They have a long history of migration and conquest often serving as the primary settlers in newly won territories in northern India. Their military power is unique in its blend of traditional Afghan courage and the adoption of modern infantry formations. This clan represents the bridge between the Afghan mountains and the Indian plains often becoming the local lords of the lands they help conquer. During the imperial collapse they have built a powerful sub state in northern India that serves as a permanent base for Afghan interests. Their leaders are as much politicians as they are warriors skillfully navigating the treacherous waters of the Mughal court. They are the most settled and organized of the Afghan tribes in the subcontinent.
clan_sturgia_9,Ishakzai,Madad Khan,Dawlat e Durrani,A loyalist clan that manages the western frontiers and provides the empire with seasoned frontier scouts and light cavalry. They are experts in the geography of the arid plains and the tracking of enemy movements over vast distances making them the eyes and ears of the emperor. Their warriors are known for their endurance and their ability to survive in the most inhospitable environments while maintaining peak combat readiness. They provide the vital intelligence that allows the Afghan commanders to strike with precision against the fragmented Mughal forces. In the civil war they serve as the internal security force that prevents tribal uprisings and secures the empires supply lines. Their loyalty is a cornerstone of the Sadozai administration providing a reliable and steady force in an otherwise volatile tribal landscape. They are the silent professionals of the Afghan military who ensure that the grand strategy of the emperor is successfully executed on the ground.
clan_empire_west_1,Aal Nazim,Mir Jafar,Subah Bengal,The ruling house of the Nawabs of Bengal who preside over the most industrially productive and fertile province of the entire subcontinent from their capital in Murshidabad. They have transitioned from being imperial governors to independent sovereigns who control the vast wealth generated by the global silk and textile trade. Their military strength is derived from a massive revenue base that allows them to hire large numbers of professional mercenaries and maintain a sprawling riverine navy. They are currently caught in a desperate struggle to maintain their autonomy while facing internal conspiracies and the growing pressure of foreign commercial interests. This ruling clan navigates a world of high stakes diplomacy where the betrayal of a general can be as deadly as an invading army. Their court is a center of immense luxury and intrigue where the fate of the province is often decided behind closed doors. They represent the ultimate prize for any conqueror as their lands provide the silver that fuels the wars of the entire subcontinent.
clan_empire_west_2,Jagat Seth,Mahtab Rai,Subah Bengal,A legendary clan of merchant bankers whose financial empire is so vast that they effectively dictate the economic policies of the entire province. They do not field traditional armies but instead use their immense wealth to fund the campaigns of their allies and influence the succession of the nawabi throne. Their power is felt in every market and treasury across the land making them indispensable to anyone who wishes to rule Bengal. They represent the transition of the province into a modern commercial state where gold often carries more weight than the sword. Their influence extends to the global stage as they are the primary financiers for the various European East India Companies operating in the delta. In the current civil war they act as the ultimate power brokers deciding which claimant to the nawabi throne is most beneficial to the stability of trade. Their security is maintained by a private army of seasoned mercenaries who guard their massive vaults and trade caravans.
clan_empire_west_3,Aal Reza,Muhammad Reza Khan,Subah Bengal,High ranking administrators who oversee the revenue and judicial systems of the vast eastern delta and ensure the steady flow of wealth to the capital. They are masters of the complex land management systems of Bengal and possess a deep knowledge of the local customs and laws. Their influence is built on their indispensable bureaucratic expertise which keeps the state functioning even during times of political chaos. They represent the administrative class that bridges the gap between the nawabi court and the agrarian population of the countryside. During the imperial decline they have taken on a more active role in provincial defense organizing local militias to protect the trade routes. Their loyalty is to the stability of the province and they are often the first to negotiate with foreign powers to ensure the continuity of the legal system. They are the silent architects of the Bengal state who ensure that the machinery of government never stops turning.
clan_empire_west_4,Purnea,Shaukat Jang,Subah Bengal,A rival branch of the nawabi family based in the northern district of Purnea who frequently contest the throne in Murshidabad and maintain a separate military establishment. They represent the internal dynastic friction that has plagued the province for generations often seeking outside support to further their claims. Their military is composed of hardened border troops who are accustomed to fighting off incursions from the Himalayan foothills. This clan serves as a constant threat to the central authority of the Nawab forcing him to divert resources to the north that could be used elsewhere. Their territory is a bastion of traditionalist sentiment where the old ways of the Mughal subahdars are still strictly observed. During the civil war they act as a wild card often joining forces with the Marathas or the Mughals to destabilize the current ruler of Murshidabad. They are the primary internal challengers to the status quo in the delta.
clan_empire_west_5,Aal Qasim,Mir Qasim,Subah Bengal,A clan of reformers and nationalists who seek to modernize the provincial army and remove the stifling influence of foreign trading companies from the local economy. They are known for their attempts to shift the capital away from the coastal intrigues and build a new professionalized state in the interior. Their military doctrine emphasizes the creation of a standing army drilled in modern tactics and equipped with locally manufactured high quality firearms. This group represents the last major effort by the Bengali elite to reassert total sovereignty over their lands before the onset of colonial rule. Their struggle is one of intense modernization and political purification aiming to create a state that can compete on equal terms with any global power. They are the visionary faction within the Bengal nobility often finding themselves isolated by the very bankers and merchants they seek to control.
clan_empire_west_6,Burdwan Raj,Tilak Chand,Subah Bengal,The most powerful Hindu landowning clan in Bengal maintaining their own private armies and vast estates that cover thousands of square miles. They act as the primary intermediaries between the Nawab and the rural peasantry ensuring the collection of revenue and the maintenance of order in the heartland. Their military force is composed of traditional Barkandazes and local levies who are expert in the defense of the many small forts that dot the landscape. This clan represents the enduring power of the indigenous landed aristocracy who have survived every change of dynasty in the delta. During the civil war they serve as the stabilizing force of the interior often providing the Nawab with the large numbers of infantry needed for his campaigns. Their loyalty is highly prized as their defection could lead to the total economic collapse of the provincial government. They are the true masters of the soil in Bengal.
clan_empire_west_7,Aal Haibat,Zain ud Din,Subah Bengal,A military lineage that has defended the province western borders against the devastating Maratha invasions for several decades with incredible tenacity. They are specialists in defensive warfare and the construction of massive earthworks designed to slow down the fast moving enemy cavalry. Their warriors are seasoned veterans of some of the most brutal fighting in the 18th century and are known for their high morale and tactical discipline. This clan represents the shield of Bengal providing the safety necessary for the trade and agriculture of the delta to flourish. During the current conflict they serve as the vanguards of the provincial army always stationed at the most dangerous frontiers. Their reputation for resilience has made them the most respected military faction in the eyes of the Nawab. They are the hardened veterans who have seen the worst of the wars and emerged as the defenders of the state.
clan_empire_west_8,Dacca Nawabs,Jasarat Khan,Subah Bengal,An influential noble family based in the east overseeing the global trade of fine silks and muslins and governing the ancient city of Dacca. They represent the cultural and commercial sophistication of the eastern provinces which provide a significant portion of the states total revenue. Their military contribution is focused on the protection of the vast river networks ensuring that the trade fleets are safe from both pirates and rival powers. This clan maintains a court that rivals Murshidabad in its patronage of the arts and its connection to the global Islamic world. During the civil war they act as the eastern anchor of the state providing a secure base of operations and a steady supply of resources. Their influence is built on their control over the specialized artisans and merchants who produce the legendary textiles of Bengal. They are the guardians of the provinces most valuable and delicate treasures.
clan_empire_west_9,Aal Rayan,Umi Chand,Subah Bengal,A clan of wealthy intermediaries and power brokers who navigate the dangerous and murky politics between the Nawab and the growing influence of European powers. They are experts in the art of the secret deal using their vast networks of informants and their deep pockets to influence the course of events. Their power is informal but absolute as no major political or economic move can be made in the province without their involvement. They represent the transition of the Bengali elite into a class of global players who understand the shifting tides of the 18th century. In the civil war they serve as the primary negotiators often moving between the camps of rival claimants to find a peaceful and profitable resolution. Their loyalty is often questioned but their utility is so high that every Nawab finds them indispensable. They are the grand masters of the shadow politics that define the fate of the delta.
clan_empire_south_1,Asaf Jahi,Nizam Ali Khan,Hyderabad,The sovereign dynasty that governs the vast Deccan plateau by blending the refined administrative traditions of the Mughals with local southern power structures. They manage a wealthy and stable state that acts as the primary guardian of Islamic culture in the south while navigating a sea of enemies. Their military relies on a sophisticated mix of traditional heavy cavalry and modernizing infantry battalions supported by a professional bureaucracy. In the ongoing imperial collapse they seek to preserve their independence while playing the various warring factions against each other to maintain the balance of power. This ruling clan has built a courtly culture in the heart of the south that attracts poets scholars and warriors from across the Islamic world. Their authority is based on a delicate balance of providing stability to the local Hindu chieftains while maintaining a strong Muslim military elite. They are the enduring successors of the Mughal dream in the Deccan defending their borders with a mix of high diplomacy and iron force.
clan_empire_south_2,Paigah,Abul Fateh Khan,Hyderabad,An elite group of nobles who are bound by oath to the personal service of the ruler and hold the most prestigious military commissions in the state. They are entrusted with the security of the capital and the command of the household troops which are considered the finest in the Deccan. Their influence extends beyond the battlefield into the highest levels of courtly politics where they act as the protectors of the dynasty. They represent the ultimate expression of the feudal loyalty that keeps the state united against the twin threats of the Marathas and Mysore. This clan is unique in their privilege of maintaining their own private standing armies which are integrated into the national defense during times of war. Their family history is one of total devotion to the Nizam often serving as the foster brothers and personal companions to the royal princes. They are the heavy hand of the state and the most trusted defenders of the Asaf Jahi throne.
clan_empire_south_3,Salar Jung,Mir Alam,Hyderabad,A family of elite diplomats and statesmen who provide the administrative brilliance and the visionary leadership required to keep the diverse Deccan provinces united. They are masters of the art of the treaty often securing the kingdoms borders through skillful negotiation with the British French and Marathas. Their power is rooted in their indispensable knowledge of international law and their ability to manage the kingdoms complex financial systems. This clan represents the intellectual engine of Hyderabad ensuring that the state remains relevant and sovereign in a rapidly changing world. During the civil war they act as the primary strategists who decide which alliances will best serve the long term survival of the Nizam. Their influence is felt in every department of the government from the collection of taxes to the modernization of the legal code. They are the sophisticated statesmen who ensure that the sword is always guided by a clear and clever mind.
clan_empire_south_4,Kalyani,Mir Ibrahim,Hyderabad,A military clan that holds the strategic fortress of Kalyani and provides the heavy shock cavalry that serves as the primary offensive weapon of the Nizam. They are specialists in the siege of hill forts and the conduct of large scale cavalry maneuvers across the rocky terrain of the plateau. Their warriors are famous for their physical prowess and their ability to execute complex battle plans under the most intense pressure. This clan represents the traditional military elite of the Deccan who have remained loyal to the state through centuries of conflict. In the current civil war they serve as the vanguards of the army always stationed at the most contested borders to repel Maratha incursions. Their leadership is defined by a deep sense of honor and a commitment to the martial traditions of the Deccani sultanates. They are the iron shield of Hyderabad holding the line against the encroaching chaos.
clan_empire_south_5,Arcot,Muhammed Ali Khan,Hyderabad,The Nawabs of the Carnatic who manage the southern coastal reaches of the state and provide the primary link between the interior and the maritime trade routes. They are caught in a difficult position between the central authority of the Nizam and the rising power of Mysore and the British. Their military is composed of specialized coastal infantry and a small but effective navy that protects the southern ports from piracy. This clan represents the southern frontier of the Deccani world often serving as the primary theater for the wars against foreign colonial interests. During the civil war they act as a vital source of revenue and intelligence for the Nizam although their loyalty is often tested by their proximity to other powers. They are the coastal guardians of the south navigating a world where the sea is just as dangerous as the land.
clan_empire_south_6,Habshi,Sidi Yaqut,Hyderabad,Descendants of African military elites who have served the Deccani sultanates for many centuries and remain famous for their incredible physical strength and absolute loyalty. They are the preferred choice for elite palace guards and the personal bodyguards of the high nobility due to their reputation for never betraying a master. Their military specialty is in close quarters combat and the defense of urban environments where their resilience makes them a nightmare for attackers. This clan represents a unique and enduring part of the Deccani social fabric proving that merit and martial skill can transcend geographic origins. In the civil war they are the last line of defense for the Nizam often being the only force that remains at the sovereigns side during times of total collapse. Their presence in the court is a testament to the diverse and inclusive nature of the southern Islamic states. They are the unbreakable warriors of the Deccan.
clan_empire_south_7,Rukn ud Daula,Mir Musa Khan,Hyderabad,A powerful diplomatic and administrative faction that specializes in negotiating the complex and shifting alliances between the state and the European powers. They are the masters of the game of thrones using their deep understanding of French and British interests to preserve the sovereignty of Hyderabad. Their influence is built on their control over the information networks and the secret correspondence of the state. This clan represents the modernizing wing of the nobility who recognize that the future of the Deccan depends on the successful management of foreign relations. During the imperial decline they serve as the primary architects of the subsidiary alliances that have provided the state with modern military technology. Their goal is to ensure that Hyderabad survives as a sovereign power regardless of who eventually wins the war in the north. They are the clever pragmatists who protect the state through the power of the written word.
clan_empire_south_8,Berar Rajas,Janoji Bhonsle,Hyderabad,A group of northern aristocrats who manage the fertile cotton lands of the Berar province and act as a critical buffer between the Nizam and the Maratha heartland. They possess a dual identity often having to balance their loyalty to the Hyderabad state with the cultural and linguistic ties they share with the Maratha neighbors. Their military force is composed of local levies and light cavalry who are experts in the defense of the northern plateau passes. This clan represents the northern frontier lords who are the first to feel the impact of any southern movement by the Maratha confederacy. In the civil war they serve as the primary scouts and border guards providing the Nizam with early warning of any impending invasion. Their position is one of constant vigilance and they have become masters of the art of frontier defense. They are the northern sentinels of the Deccan state.
clan_empire_south_9,Viqar ul Umra,Rashid ud Din,Hyderabad,A prestigious noble house known for their magnificent palaces and their patronage of the arts as well as their command of highly disciplined household troops. They represent the peak of the cultural and social elite in Hyderabad providing the state with its most refined courtiers and military officers. Their military retinues are small but incredibly well equipped often serving as the elite heavy cavalry in the Nizams field army. This clan is dedicated to the preservation of the Persianate culture of the south and the maintenance of the high standards of Deccani chivalry. During the civil war they provide the state with its most reliable and well trained officers who are capable of leading diverse forces with confidence. Their loyalty is to the concept of the civilized state and they are the primary opponents of any form of tribal or populist uprising. They are the refined protectors of the Deccani social order.
clan_khuzait_1,Sukerchakia,Charat Singh,Sikh Empire,A rising power among the Sikh misls that has distinguished itself through its relentless resistance against both Mughal governors and Afghan invaders. Based in the central Punjab they have built a reputation for tactical brilliance and an unyielding commitment to the sovereignty of the Khalsa. Their warriors are famous for their skill in horse archery and their ability to disappear into the jungles only to strike back with renewed vigor. They are the primary architects of the local defense system that has turned the Punjab into a graveyard for foreign ambitions. This ruling clan has mastered the art of guerrilla warfare using the fertile plains of the five rivers to outmaneuver the slow moving imperial armies. Their rise is fueled by a sense of divine mission and a commitment to the egalitarian principles of their faith which allows them to recruit the finest fighting men from across the region. They are the destined unifiers of the Sikh people preparing the ground for a future empire that will stretch from the Khyber to the Yamuna.
clan_khuzait_2,Ahluwalia,Jassa Singh Ahluwalia,Sikh Empire,The clan led by the supreme commander of the Dal Khalsa who is respected by all Sikh misls as a unifying religious and military leader of unparalleled integrity. They are the glue that holds the various independent Sikh factions together providing a centralized command structure during the most dangerous invasions. Their warriors are elite horsemen who specialize in the coordination of large scale cavalry maneuvers and the defense of the sacred community. This clan represents the selfless and spiritual core of the Sikh resistance prioritizing the survival of the faith over any individual territorial gain. In the context of the civil war they act as the ultimate arbiters between the rival misls ensuring that the internal conflicts never jeopardize the security of the Punjab. Their leadership is defined by a deep humility and a martial prowess that has been forged in decades of constant warfare against the Afghans. They are the noble heart of the Sikh confederacy.
clan_khuzait_3,Ramgarhia,Jassa Singh Ramgarhia,Sikh Empire,Masters of fortification and artillery who rebuilt the sacred fort of Ram Rauni and have turned the northern hills into an impregnable bastion for the Sikh people. They are renowned for their technical skills in engineering and the manufacturing of high quality weaponry which they provide to the entire confederacy. Their warriors are expert in the defense of forts and the conduct of protracted sieges making them the primary engineers of the Sikh military. This clan represents the industrial and technical wing of the Khalsa proving that the Sikh resistance is as much about modern technology as it is about traditional bravery. During the imperial collapse they have carved out a secure territory in the foothills providing a safe haven for the community during times of invasion. Their independence is fiercely guarded and they often act as a separate power block within the confederacy due to their unique technical advantages. They are the builders and the smiths of the Sikh revolution.
clan_khuzait_4,Singhpuria,Kapur Singh,Sikh Empire,The clan that first organized the Sikhs into a formal military confederacy to fight the Mughals and has since served as the traditional guardians of the Khalsa's military code. They are known for their extreme discipline and their commitment to the early traditions of the Sikh warrior saints. Their military force is composed of highly dedicated veterans who specialize in the training of new recruits and the maintenance of the community's morale. This clan represents the historical memory of the Sikh resistance reminding the newer generations of the sacrifices made by the early gurus and their followers. In the current conflict they serve as the moral compass of the confederacy often intervening to stop the excesses of the more ambitious misl leaders. Their influence is based on their long history of service and their reputation for absolute incorruptibility in the face of political temptation. They are the venerable elders of the Sikh military order.
clan_khuzait_5,Dallewalia,Gulab Singh,Sikh Empire,A highly mobile clan that specializes in lightning raids and the guarding of the strategic northern river crossings against any sudden movement from the Afghan mountains. They are masters of the hit and run tactic using their superior knowledge of the local geography to harass enemy supply lines with devastating efficiency. Their warriors are light cavalry who pride themselves on their speed and their ability to live off the land for months at a time. This clan represents the mobile eyes and ears of the Sikh confederacy providing early warning of any impending threat to the Punjabi heartland. During the civil war they serve as the primary scouts and skirmishers who prevent the consolidation of enemy forces on the borders. Their role is one of constant movement and they are often the first to strike and the last to leave the field of battle. They are the swift and silent rangers of the Sikh world.
clan_khuzait_6,Nakai,Hira Singh,Sikh Empire,A clan that controls the fertile lands between Lahore and Multan focusing on heavy cavalry and the agrarian defense of the southern Punjabi plains. They are unique among the misls for their emphasis on agricultural self sufficiency and the building of large fortified villages that can withstand prolonged raids. Their warriors are resilient landowning soldiers who fight to protect their crops and their families from the constant incursions of the fading Mughal governors. This clan represents the settled and prosperous side of the Sikh community proving that the Khalsa can govern and farm as well as they can fight. In the current conflict they act as the southern shield of the confederacy preventing any resurgence of imperial power from the direction of Multan. Their strength is rooted in their deep connection to the soil and their ability to sustain a long term war of attrition. They are the sturdy and reliable defenders of the Sikh breadbasket.
clan_khuzait_7,Kanhaiya,Jai Singh,Sikh Empire,A powerful misl that dominates the foothills of the Himalayas and manages the lucrative trade routes that lead to the mountains of Kashmir and beyond. They are known for their wealth and their ability to recruit mountain warriors into the Sikh ranks adding a diverse range of tactical options to the confederacy. Their military force is a mix of traditional cavalry and specialized mountain infantry who excel in high altitude combat and narrow pass defense. This clan represents the northern expansion of the Sikh state integrating the diverse cultures of the hills into the egalitarian fold of the Khalsa. During the imperial decline they have taken over the role of the primary protectors of the northern merchants ensuring that the flow of goods is never interrupted by the chaos of the plains. Their influence is built on their control over the vital mountain passes and their diplomatic skill in dealing with the various hill rajas. They are the northern merchant kings of the Sikh world.
