id,culture,owner,gate_posX,gate_posY,gate_rotation,name,mappedName,posX,posY,text,type
town_EW3,Culture.empire,Faction.clan_empire_west_1,378.0066,343.815,,{=Settlements.Settlement.name.town_EW3}Jalmarys,Aurangabad,376.986,341.692,"{=TI3fS2xN}Every realm has a city whose inhabitants are mocked for their provincial unsophistication, and for the Empire that city was Jalmarys. One of the first imperial colonies established inland of the Perassic Sea, it served the Empire as a base to subdue the western Palaic tribes. Paravenos was happy to accept the plunder and slaves sent to them from its garrison, but snickered at them behind their backs. That changed when the Jalmaryan general Carsos staged a military coup. When a senator, stymied by his thick accent, nervously asked him to repeat a decree, he unsheathed his sword and said, 'Do you understand this?'",
town_EW4,Culture.empire,Faction.clan_empire_west_2,305.228,334.8917,,{=Settlements.Settlement.name.town_EW4}Ortysia,Elichpur,303.859,331.889,"{=JhBSnWAe}Ortysia, named for the quails who inhabit the nearby coastal marshes, was the first Calradian colony on the shores of the Perassic Sea. In its early centuries, it fell under the authority of the Kannic city-state of Quyaz, but the empire's expansion soon united the colony with its mother republic. For centuries, sailors coming from the pirate-infested islands of the Bay of Charas gave thanks when they saw its towers looming through the haze of the western Perassic, signalling a return to safe imperial-patrolled waters.",
town_EW5,Culture.empire,Faction.clan_empire_west_4,442.959,357.131,,{=Settlements.Settlement.name.town_EW5}Amitatys,Burhanpur,441.84,352.923,"{=rX8oGVvV}The Palaic chieftain of Amitatys had a particularly grim reputation, a tyrant who slaughtered innocents to appease the gods of the underworld in the hope they would grant him immortality. Inevitably, he fell into conflict with the Empire, and during the siege an earthquake crumbled his walls and allowed imperial troops into the city. More died in the ensuing sack than the tyrant had ever killed, but it was war, and the outcome - attributed to the wrath of Heaven - was a staple of imperial propaganda as they expanded their foothold in the region.",
town_EW6,Culture.empire,Faction.clan_empire_west_5,389.7318,390.8637,,{=Settlements.Settlement.name.town_EW6}Rhotae,Bidar,390.118,393.159,"{=5SpYVtie}Rhotae is a former Palaic hill-fort in the shadow of the basalt slab of Mount Erithrys, once known as Rotash. It fell to the Empire shortly afer Lageta. The Palaic chief here, when he heard of what happened to his neighbor, slaughtered a dozen imperial citizens under his protection. The eccentric long-haired general Sarapios led the punitive column that took Rotash and burned it to the ground. 'Lageta we took treacherously but with little bloodshed. Rotash we took honorably, with great bloodshed,' he supposedly said afterwards. 'Both will be remembered as a stain on our name. The victor always takes the blame, but keeps the gold.'",
castle_ES1,Culture.empire,Faction.clan_empire_south_3,690.0823,306.6104,,{=Settlements.Settlement.name.castle_ES1}Odrysa Castle,Rohtasgarh,693.202,306.624,,
castle_ES2,Culture.empire,Faction.clan_empire_south_5,659.8487,361.8509,,{=Settlements.Settlement.name.castle_ES2}Corenia Castle,Gaur,661.582,363.757,,
castle_ES3,Culture.empire,Faction.clan_empire_south_7,619.0043,383.4194,,{=Settlements.Settlement.name.castle_ES3}Melion Castle,Rajmahal,616.0421,383.801,,
castle_ES4,Culture.empire,Faction.clan_empire_south_3,618.6501,255.7067,,{=Settlements.Settlement.name.castle_ES4}Lavenia Castle,Burdwan,620.957,254.729,,
castle_ES5,Culture.empire,Faction.clan_empire_south_8,555.6404,281.4951,,{=Settlements.Settlement.name.castle_ES5}Morenia Castle,Sylhet,557.31,279.075,,
castle_ES6,Culture.empire,Faction.clan_empire_south_1,490.7852,346.1327,,{=Settlements.Settlement.name.castle_ES6}Sestadaim Castle,Midnapore,493.22,346.296,,
castle_ES7,Culture.empire,Faction.clan_empire_south_9,651.8447,432.7847,,{=Settlements.Settlement.name.castle_ES7}Jogurys Castle,Shah Sarai,654.547,434.009,,
castle_ES8,Culture.empire,Faction.clan_empire_south_1,539.6804,375.7863,,{=Settlements.Settlement.name.castle_ES8}Chanopsis Castle,Purnea,538.99,378.31,,
town_ES1,Culture.empire,Faction.clan_empire_south_3,658.7773,277.1635,,{=Settlements.Settlement.name.town_ES1}Danustica,Murshidabad,661.191,276.466,"{=xkkI7ejQ}The frontier city of Danustica dominates the network of lakes and lagoons known as the Calsea. It has long held the line against incursions by the Aserai and various Darshi shahs and padishahs further to the east. Many an imperial legionary stationed here has scribbled graffiti on its walls cursing the city's sweltering summers, brackish water and the mosquitos that rise from the Calsea, but the inhabitants are proud of their role as border defenders and mock the soldiers wilting in the heat around them.",
town_ES2,Culture.empire,Faction.clan_empire_south_4,571.3194,244.1132,,{=Settlements.Settlement.name.town_ES2}Vostrum,Dacca,568.779,239.989,"{=ytBRXqt8}Vostrum was founded by the Calradian mercenary Archacos, one of a number of rogue commanders who broke away from the empire during its expansion. Unlike some, who tried to reproduce the empire's republican heritage, he chose to rule as a god-king. His dynasty lasted for generations, until imperial troops overran it and smashed every haloed statue of Archacos and his successors into rubble. Even today, western and northern imperial senators accuse families from this region of being closet monarchists.",
town_ES3,Culture.empire,Faction.clan_empire_south_2,472.46,267.8516,,{=Settlements.Settlement.name.town_ES3}Poros,Cuttack,471.018,269.821,"{=rGXdJybe}The town of Poros sits near the northern shores of the Perassic Sea. The warm rolling hills of these parts are well suited to the raising of sheep and horses. The herdsmen have a reputation for being proud and violent, but the nobles of the Leonipardes clan who rule this land are careful to respect their autonomy. Livestock rustling and blood feuds are common here, and it is said that the Leonipardes will never interfere unless invited by both parties, but when they do, their judgments will be obeyed by all.",
town_ES4,Culture.empire,Faction.clan_empire_south_1,517.5825,329.8356,,{=Settlements.Settlement.name.town_ES4}Lycaron,Patna,515.33,333.562,"{=WGtzBswe}The natural fortress of Lycaron sits on a spur jutting out of the great Ornian rock. In the final years of the imperial conquest, the Palaic tribe here negotiated a peaceful federation with the empire, only to see their home seized by the rebel leader Gethuz. The ensuing siege was only the first of many that Lycaron would undergo in the ensuing centuries, as its nearby silver mines made it a prize for every imperial pretender who ever tried to seize power in a civil war. It is said that the colony of vultures who inhabit the upper reaches of the Rock have dined on the flesh of every people of Calradia.",
town_ES5,Culture.empire,Faction.clan_empire_south_1,644.077,327.4114,,{=Settlements.Settlement.name.town_ES5}Onira,Hooghly,645.315,325.385,"{=4ENGzVaC}The tale of Sarpea of Onira is one of the epic poems of the eastern frontier. Like many, it seems written to justify the Empire's conquest. Sarpea, a senator's daughter, was seized by a Palaic chieftain and carried to his citadel here. When the imperial armies appeared before its walls years later to rescue her, she begged them to retreat for the sake of her infant son, whom her fearsome husband had threatened to hurl from the walls instead of allowing him to be captured and raised by his mother's people. The legions withdrew, so the story says, but the boy grew into a warrior who joined the Empire and slew his father. It is now the center of a horse-breeding industry on the eastern plains.",
town_ES6,Culture.empire,Faction.clan_empire_south_6,566.7661,344.943,,{=Settlements.Settlement.name.town_ES6}Phycaon,Monghyr,566.2401,347.43,"{=RL2vacqv}Phycaon sits at the head of the Sethys valley, one of the main grain-producing regions of the central Empire. Once the largest of the Palaic cities, its leaders led a league of the tribes against imperial encroachment into the region. But when the empire's victory looked inevitable, they made their peace. The population, now thoroughly Calradicized, have a reputation for being serious, respectable and trade-minded, dependable if a bit humorless.",
town_ES7,Culture.empire,Faction.clan_empire_south_5,648.8575,388.9376,,{=Settlements.Settlement.name.town_ES7}Syronea,Chittagong,651.026,387.791,"{=UHvEEEBb}Syronea sits on the eastern shores of Lake Tanaesis. This city was once a byword for luxury and decadence. This was the center of the Empire's silk industry and an entrepot for the goods flowing in from what was known as Transtanaesia, the imperial possessions and protectorates beyond the great lake. But the coming of the Khuzaits ripped the Transtanaesia from the Empire's grasp and the Senatorial families of Syronea were forced to relearn the arts of war, dusting off old gilded armors and sharpening bejewelled swords to lead their followers against Urkhun's warriors.",
castle_S1,Culture.sturgia,Faction.clan_sturgia_5,274.0234,593.2222,,{=Settlements.Settlement.name.castle_S1}Ustokol Castle,Bala Hissar,272.135,593.449,,
castle_S2,Culture.sturgia,Faction.clan_sturgia_1,397.0779,509.8951,,{=Settlements.Settlement.name.castle_S2}Mazhadan Castle,Khyber Pass,395.312,509.257,,
castle_S3,Culture.sturgia,Faction.clan_sturgia_1,268.593,547.8528,,{=Settlements.Settlement.name.castle_S3}Nevyansk Castle,Bamyan,268.468,549.737,,
castle_S4,Culture.sturgia,Faction.clan_sturgia_9,366.5877,518.8732,,{=Settlements.Settlement.name.castle_S4}Kranirog Castle,Farah,367.984,519.925,,
castle_S5,Culture.sturgia,Faction.clan_sturgia_7,451.7241,544.503,,{=Settlements.Settlement.name.castle_S5}Ov Castle,Lashkar Gah,452.961,543.248,,
castle_S6,Culture.sturgia,Faction.clan_sturgia_8,491.5004,551.7879,,{=Settlements.Settlement.name.castle_S6}Takor Castle,Kunduz,493.389,551.866,,
castle_S7,Culture.sturgia,Faction.clan_sturgia_3,668.2737,554.0104,,{=Settlements.Settlement.name.castle_S7}Urikskala Castle,Ghor,666.54,553.695,,
castle_S8,Culture.sturgia,Faction.clan_sturgia_4,610.8224,573.5645,,{=Settlements.Settlement.name.castle_S8}Vladiv Castle,Zaranj,612.399,573.747,,
town_S1,Culture.sturgia,Faction.clan_sturgia_1,357.3419,551.6558,,{=Settlements.Settlement.name.town_S1}Varcheg,Kabul,361.256,554.313,"{=i2VkRLBg}The former Nord colony of Varcheg sits on a windswept sea-bluff at the base of the Kachyar peninsula in what was once Battanian land. The jarl who founded this coastal outpost, hoping to trade with the interior, pledged himself in fealty to the Battanian High King Dernmachad, but then proceeded to dabble in Battanian politics. Annoyed, Dernmachad hired a Sturgian army to crush his unreliable new vassal. The Sturgians complied and routed the Nords, but then demanded the newly captured town as their payment. They called the town 'Varcheg,' a corruption of the Nordic term for 'oathsworn companion,' to mock both rivals whose quarreling had handed them their prize.",
town_S2,Culture.sturgia,Faction.clan_sturgia_1,468.4538,566.1055,,{=Settlements.Settlement.name.town_S2}Balgard,Ghazni,467.86,570.509,"{=Xom9DeXZ}Balgard, which sits on the icy waters of Mazopor bay, was founded by migrants from the Nordlands. Legend holds that the initial wave of Nords arrogantly demanded tribute from the nearby Vakken and Sturgian tribes, who formed an alliance and drove the newcomers back to their ships. But the victors fell out over the spoils, until a canny Nord, Gundar, landed and volunteered to help them fairly divvy up the weapons and armor of his dead kinsmen. The residents recognized Gundar's lordship over the region and his descendants, intermarried with the Sturgians, are today the grand princes of Sturgia.",
town_S3,Culture.sturgia,Faction.clan_sturgia_2,448.2916,511.662,,{=Settlements.Settlement.name.town_S3}Omor,Peshawar,451.107,515.464,"{=pbHXtJ82}Omor sits on the eastern shores of Lake Laconis. Long before the Sturgians formed themselves into a principality it was a holy site for the forest tribes, who worshipped their gods and ancestors in the sacred oak trees of the nearby woods. Today, it is an emporium for fur trappers and woodsmen who prowl the Ircara wildlands to the east, and the primeval peace of the forests is drowned out by the sounds of bartering, saws, and the unloading of ships at the lake.",
town_S4,Culture.sturgia,Faction.clan_sturgia_4,537.884,549.716,,{=Settlements.Settlement.name.town_S4}Varnovapol,Jalalabad,540.416,548.273,"{=aTMypBiY}Varnovapol, which sits beneath the Chertyg mountains on the crystal waters of Lake Laconis, has the dubious honor of being perhaps the most-often conquered city in Calradia. Originally it was a colony of the Empire, infamous as a place of exile for dissident senators, before it was seized by Nords as a base to expand their influence into the Sturgian fur trade. It was taken by the Alkit tribe from the eastern steppe and briefly served as the capital of a small khanate, before finally falling to the fierce Ormidoving clan.",
town_S5,Culture.sturgia,Faction.clan_sturgia_3,651.0615,568.5307,,{=Settlements.Settlement.name.town_S5}Tyal,Balkh,647.079,569.108,"{=F5HlQdgf}Tyal sits in the western foothills of Mount Iltan, on the eastern borders of the Sturgian lands. This region has long stood aloof from the power struggles of the other Sturgian principalities. Its people are known as wanderers, traders, horse breeders and fur-trappers. The local aristocracy has occasionally exchanged princesses with the steppe tribes to the east to firm up a truce or a trade pact, and proudly includes the names of several great khans on their list of ancestors.",
town_S6,Culture.sturgia,Faction.clan_sturgia_6,554.0284,584.1961,,{=Settlements.Settlement.name.town_S6}Sibir,Herat,549.771,586.259,"{=PPadNxa6}Sibir was founded in a dark valley amid the Chertyg mountains by Nordic traders, who wished a base to buy furs from the local Vakken-speaking foresters. As the Sturgian tribes became principalities, and elected chieftains evolved into boyars who demanded taxes and labor as their due, this region became a magnet for Sturgians who had little taste for deference. Today, the ambitious Isyaroving family governs this region, but they must always balance their hunger for wealth and men to fight their wars with their subjects' reluctance to provide it.",
town_S7,Culture.sturgia,Faction.clan_sturgia_5,300.3447,583.3357,,{=Settlements.Settlement.name.town_S7}Revyl,Kandahar,296.82,580.832,"{=T2E4xKVn}Revyl, chief town of the rocky Kachyar peninsula, was a traditional rival of Balgard. According to legend the Balgardian princess Arkina, whose husband had been slain by the Revylians, accepted a proposal from her enemy's king to marry and settle the feud. On her wedding night, however, she barred the door of his hall and burned him and a hundred of his kinsmen and warriors alive inside. The feud has long since been settled by pacts and marriages with happier outcomes, although Revylians still resent the ascent of the Balgardian Gundaroving dynasty.",
castle_A1,Culture.aserai,Faction.clan_aserai_1,275.4893,271.7934,,{=Settlements.Settlement.name.castle_A1}Tubilis Castle,Devanahalli,274.181,272.167,,
castle_A2,Culture.aserai,Faction.clan_aserai_3,617.5756,125.2101,,{=Settlements.Settlement.name.castle_A2}Sahel Castle,Nandi Hills,617.677,127.096,,
castle_A3,Culture.aserai,Faction.clan_aserai_7,322.2627,187.7981,,{=Settlements.Settlement.name.castle_A3}Ain Baliq Castle,Savandurga,323.167,186.28,,
castle_A4,Culture.aserai,Faction.clan_aserai_2,445.8025,150.8632,,{=Settlements.Settlement.name.castle_A4}Medeni Castle,Madhugiri,444.093,150.416,,
castle_A5,Culture.aserai,Faction.clan_aserai_4,514.7328,130.8227,,{=Settlements.Settlement.name.castle_A5}Jamayeh Castle,Dindigul,516.555,130.572,,
castle_A6,Culture.aserai,Faction.clan_aserai_3,665.921,246.1539,,{=Settlements.Settlement.name.castle_A6}Shibal Zumr Castle,Palakkad Fort,666.93,245.247,,
castle_A7,Culture.aserai,Faction.clan_aserai_7,358.5762,214.9592,,{=Settlements.Settlement.name.castle_A7}Uqba Castle,Krishnagiri,357.485,216.349,,
castle_A8,Culture.aserai,Faction.clan_aserai_8,649.2784,211.1711,,{=Settlements.Settlement.name.castle_A8}Tamnuh Castle,Bellary,650.405,210.393,,
castle_A9,Culture.aserai,Faction.clan_aserai_9,338.7608,155.534,,{=Settlements.Settlement.name.castle_A9}Barihal Castle,Gurramkonda,339.854,156.395,,
town_A1,Culture.aserai,Faction.clan_aserai_1,300.6186,261.9282,,{=Settlements.Settlement.name.town_A1}Quyaz,Srirangapatna,299.553,264.853,"{=1ImuW3My}Quyaz was once a mercantile republic that dominated the trade between the western ocean and the Perassic Sea, speaking the now all-but-extinct Kannic tongue, a relative of Nahasawi. But imperial hegemony slowly snuffed out its trade, and the rulers was taken over by mercenaries from the Nahasa. It came intermittently under imperial subjugation but today is a prized holding of the Banu Hulyan, a leading clan of the Aserai sultanate.",
town_A2,Culture.aserai,Faction.clan_aserai_2,686.6509,235.8163,,{=Settlements.Settlement.name.town_A2}Husn Fulq,Chitradurga,686.263,234.344,"{=bnl7Va4c}Husn Fulq sits at the southeastern edge of the Caldea, the network of rivers and brackish lagoons linking the Empire to the Aserai lands. Fulq, also known as Phalcos, was a dark-faced mercenary chieftain who came from lands far to the south. He founded a fortress here and then parlayed its strategic location into a fortune, taking bribes from the Empire and then from the Aserai to switch sides. After 20 years of playing both sides back and forth he sailed home in a ship laden with gold, but many clans of the Aserai proudly claim descent from him, and the 'Tricks of Fulq' are a staple of many a bazaar storyteller's repetoire.",
town_A3,Culture.aserai,Faction.clan_aserai_4,492.1279,114.4126,,{=Settlements.Settlement.name.town_A3}Iyakis,Bednore,493.537,111.743,"{=NFIYqaab}Iyakis sits in a cleft in the Jarjara escarpment, where the waters of the fierce but brief desert rains can be trapped and used for irrigation. For generations ago it was an autonomous outpost of the Empire known as Yachios, dominated by the Carasios clan. Fifty years ago however they saw the writing on the wall for imperial dominion in the southlands, and began intermarrying themselves with the tribes of the Nahasa. Today, known as the Qaraz, they take their places in the councils of the sultanate like any other family of the Aserai.",
town_A4,Culture.aserai,Faction.clan_aserai_2,613.8578,177.6383,,{=Settlements.Settlement.name.town_A4}Razih,Coimbatore,615.08,180.537,"{=jXBnf2hQ}Razih is said to be the base from which Kannic explorers set forth to colonize the shores of the Perassic Sea in the centuries before the coming of the empire, the prows of their ships decorated with the intertwined vine leaves of the Kannic goddess of wealth, wine, love and war. Today, the Kannic tongue has been replaced by Nahasawi dialects and their religion is all but forgotten, but the symbol lives on, said to protect those who risk all for the sake of gain or glory.",
town_A5,Culture.aserai,Faction.clan_aserai_3,557.2956,108.9494,,{=Settlements.Settlement.name.town_A5}Hubyar,Mangalore,560.451,107.058,"{=IIMWPVhU}The inland city of Hubyar is said to be built on the ruins of a luxurious hunting lodge built by the decadent and cruel king Thuran, whom the patriarch Asera slew in vengeance for the enslavement of his family. This memory may explain the worldview of the fierce and austere Banu Qild, who hold the castle today and who detest all frivolity. But the scent of jasmine that can be detected on the night breezes here carries an undercurrent of temptation. It was here that the hero Nimr came to grief, caught in the chamber of a Banu Qild maiden and left hanging in a cage in the market until he perished.",
town_A6,Culture.aserai,Faction.clan_aserai_1,403.1414,205.9388,,{=Settlements.Settlement.name.town_A6}Sanala,Bangalore,401.068,207.927,"{=uO4dxCl8}The port of Sanala is the gateway through which the grain of the lower Damar has flowed forth to feed a hungry world. The Empire's periodic advances south of the Perassic Sea have usually been aimed at seizing this strategic prize. Although the legions were long ago forced to retreat, Sanala remains among the most cosmopolitan cities in Calradia, filled with merchants from many lands bidding for the lowest bulk prices.",
town_A7,Culture.aserai,Faction.clan_aserai_5,380.7408,119.9328,,{=Settlements.Settlement.name.town_A7}Askar,Mysore,379.425,118.472,"{=GChIoZdd}Askar dominates the middle stretches of the Damar River, as it weaves between the bluffs of the Jarjara Escarpment. This region has been thickly populated for thousands of years, but the river is restless, and every few centuries leaps its banks and erases what comes before. This latest regional capital was an imperial encampment  during their furthest penetration of the Nahasa several centuries ago, taken over by the Aserai tribes after the legions withdrew.",
town_A8,Culture.aserai,Faction.clan_aserai_6,487.2882,161.0079,,{=Settlements.Settlement.name.town_A8}Qasira,Sira,490.694,163.097,"{=J4bgNT0r}The legendary Queen Eshora, it is said, punished the jinn who were harassing her people by imprisoning them in one of the caves above Qasira, carving the mystical eight-pointed star into the rock to seal them in. She sentenced them to haul water from the depths of the earth, feeding the springs that gush forth from the rocks and which for centuries have irrigated the date gardens of Qasira and its surrounding villages.",
castle_V1,Culture.vlandia,Faction.clan_vlandia_11,222.5224,356.4457,,{=Settlements.Settlement.name.castle_V1}Usanc Castle,Chittorgarh,223.555,357.026,,
castle_V2,Culture.vlandia,Faction.clan_vlandia_9,134.1006,417.5619,,{=Settlements.Settlement.name.castle_V2}Hongard Castle,Kumbhalgarh,133.91,416.794,,
castle_V3,Culture.vlandia,Faction.clan_vlandia_2,109.7325,513.6299,,{=Settlements.Settlement.name.castle_V3}Drapand Castle,Ranthambore,109.383,514.606,,
castle_V4,Culture.vlandia,Faction.clan_vlandia_10,199.5611,522.6012,,{=Settlements.Settlement.name.castle_V4}Ormanfard Castle,Mehrangarh,199.557,521.81,,
castle_V5,Culture.vlandia,Faction.clan_vlandia_5,164.9052,564.4557,,{=Settlements.Settlement.name.castle_V5}Tirby Castle,Junagarh,165.989,564.639,,
castle_V6,Culture.vlandia,Faction.clan_vlandia_6,230.9809,551.6971,,{=Settlements.Settlement.name.castle_V6}Caleus Castle,Gagron,230.536,552.587,,
castle_V7,Culture.vlandia,Faction.clan_vlandia_1,202.3588,416.0108,,{=Settlements.Settlement.name.castle_V7}Talivel Castle,Taragarh,201.425,415.486,,
castle_V8,Culture.vlandia,Faction.clan_vlandia_7,189.1221,466.6706,,{=Settlements.Settlement.name.castle_V8}Verecsand Castle,Nagaur,190.12,466.865,,
town_V1,Culture.vlandia,Faction.clan_vlandia_1,207.0884,386.9565,,{=Settlements.Settlement.name.town_V1}Sargot,Ajmer,210.378,383.893,"{=aOn6pa0D}Sargot is a common name for hills, promontories, islands and other defensible positions in western Calradia. It refers to a fortified encampment of the Massa, a tribe allied to the the Vlandians who joined their invasion.  Though the Massa moved on, their stay was often so traumatic for a district that the name remained long after their departure. This Sargot was actually founded on the ruins of an imperial town, resettled by Vlandians, and which has supplanted the memory of the community that came before it.",
town_V2,Culture.vlandia,Faction.clan_vlandia_7,177.3913,494.0723,,{=Settlements.Settlement.name.town_V2}Ocs Hall,Udaipur,181.785,495.348,"{=nhmBQIC4}Ocs Hall is one of the few towns in the Vlandian kingdom that was founded after the seizure of the land from the Empire. This valley was once an isolated holdout of Battanians, centered on the Llyn Modris, a lake in a volcanic caldera that was said to be the  seat of a giant. This land was conquered by the Vlandian warlord Oca, who also gave his name to the nearby Ocspool lake. The Battanian tribes were driven inland, and took their legends with them.",
